filename,bands,width,height,crs,resolution_x,resolution_y,dtype,left,bottom,right,top
burned_area.tif,1,342,612,EPSG:4326,0.004491576420597608,0.004491576420597608,int16,109.80556875434972,-3.072238271688764,111.34168789019411,-0.32339350228302777
cloud_probability-0000000000-0000000000.tif,1,17073,23296,EPSG:4326,8.983152841195215e-05,8.983152841195215e-05,float64,109.80799420561684,-2.4168274403951604,111.3416878901941,-0.3241121545103233
cloud_probability-0000023296-0000000000.tif,1,17073,7248,EPSG:4326,8.983152841195215e-05,8.983152841195215e-05,float64,109.80799420561684,-3.0679263583249896,111.3416878901941,-2.4168274403951604
sentinel_raw-0000000000-0000000000.tif,6,9472,9472,EPSG:4326,8.983152841195215e-05,8.983152841195215e-05,"float64,float64,float64,float64,float64,float64",109.80799420561684,-1.1749963916283341,110.65887844273485,-0.3241121545103233
sentinel_raw-0000000000-0000009472.tif,6,7601,9472,EPSG:4326,8.983152841195215e-05,8.983152841195215e-05,"float64,float64,float64,float64,float64,float64",110.65887844273485,-1.1749963916283341,111.3416878901941,-0.3241121545103233
sentinel_raw-0000009472-0000000000.tif,6,9472,9472,EPSG:4326,8.983152841195215e-05,8.983152841195215e-05,"float64,float64,float64,float64,float64,float64",109.80799420561684,-2.0258806287463447,110.65887844273485,-1.1749963916283341
sentinel_raw-0000009472-0000009472.tif,6,7601,9472,EPSG:4326,8.983152841195215e-05,8.983152841195215e-05,"float64,float64,float64,float64,float64,float64",110.65887844273485,-2.0258806287463447,111.3416878901941,-1.1749963916283341
sentinel_raw-0000018944-0000000000.tif,6,9472,9472,EPSG:4326,8.983152841195215e-05,8.983152841195215e-05,"float64,float64,float64,float64,float64,float64",109.80799420561684,-2.8767648658643554,110.65887844273485,-2.0258806287463447
sentinel_raw-0000018944-0000009472.tif,6,7601,9472,EPSG:4326,8.983152841195215e-05,8.983152841195215e-05,"float64,float64,float64,float64,float64,float64",110.65887844273485,-2.8767648658643554,111.3416878901941,-2.0258806287463447
sentinel_raw-0000028416-0000000000.tif,6,9472,2128,EPSG:4326,8.983152841195215e-05,8.983152841195215e-05,"float64,float64,float64,float64,float64,float64",109.80799420561684,-3.0679263583249896,110.65887844273485,-2.8767648658643554
sentinel_raw-0000028416-0000009472.tif,6,7601,2128,EPSG:4326,8.983152841195215e-05,8.983152841195215e-05,"float64,float64,float64,float64,float64,float64",110.65887844273485,-3.0679263583249896,111.3416878901941,-2.8767648658643554
viirs_hotspot_stats.tif,3,456,815,EPSG:4326,0.0033686823154482058,0.0033686823154482058,"float32,float32,float32",109.80556875434972,-3.0688695893733158,111.34168789019411,-0.32339350228302777
